actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,4,4,2,0,0,3,0,1,1,1,2,0,0,0,2,1,0,2,1,1,1,0,0,0
above_inside,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above_left,2,0,2,1,0,0,1,2,4,0,1,1,1,0,1,0,2,0,0,0,0,0,1,0,0
above_outside,1,1,0,3,2,0,3,4,3,0,0,3,0,2,0,1,0,0,1,0,2,0,0,1,0
above_right,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
below_center,3,24,7,12,7,0,9,8,17,1,1,12,9,8,4,0,3,6,9,3,2,4,5,12,4
below_inside,12,25,4,4,9,0,51,7,13,2,9,13,3,4,10,0,6,0,2,7,3,7,11,5,10
below_left,2,8,1,10,1,0,5,7,19,2,0,7,4,5,0,1,0,1,5,1,1,0,3,7,3
below_outside,2,1,1,3,0,0,4,2,8,1,1,3,0,1,1,0,0,1,7,0,0,1,1,4,0
below_right,6,14,8,12,6,1,27,11,17,3,8,12,10,6,6,1,6,0,2,7,0,8,7,10,9
high_center,5,9,1,4,3,0,4,4,1,1,3,3,2,4,4,0,2,0,3,0,3,4,5,0,4
high_inside,1,5,0,0,1,0,3,0,3,0,1,3,0,2,0,0,1,0,0,2,0,0,1,0,0
high_left,4,7,1,7,3,0,2,3,3,1,2,5,3,1,2,1,2,3,4,0,0,1,1,4,2
high_outside,1,1,2,3,1,0,5,3,8,0,0,4,6,2,1,2,0,0,6,1,0,1,2,3,0
high_right,7,4,0,3,2,0,4,0,1,0,1,1,1,0,3,1,0,0,0,0,0,0,2,1,0
low_center,11,11,7,11,5,2,7,9,8,1,3,15,10,3,9,1,3,5,5,5,4,1,3,9,3
low_inside,9,7,5,1,4,2,12,6,3,2,2,8,2,3,4,0,3,0,3,2,1,3,5,2,8
low_left,5,11,3,7,5,0,7,6,11,1,3,9,7,12,2,1,2,2,7,3,1,3,4,16,2
low_outside,1,5,2,2,4,0,3,3,8,0,1,4,0,3,1,0,3,0,4,1,0,1,4,3,1
low_right,15,12,3,6,3,0,6,5,8,1,1,12,6,1,4,0,6,1,3,5,5,5,2,3,6
middle_center,6,10,9,8,4,0,4,3,5,2,4,10,9,9,10,0,4,1,1,3,1,0,3,7,3
middle_inside,7,3,2,3,3,0,7,1,3,0,2,3,2,4,4,0,4,0,3,2,1,2,1,2,4
middle_left,10,6,5,8,3,0,5,4,6,1,1,10,5,6,1,2,7,1,3,2,0,3,10,3,4
middle_outside,4,9,6,10,0,0,3,9,10,1,2,5,0,3,5,1,1,2,3,0,1,1,3,4,3
middle_right,21,8,1,5,6,1,5,4,2,0,2,13,2,4,11,1,2,0,2,4,1,2,3,1,8
