actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,3,3,5,6,1,5,4,16,3,4,1,8,2,3,0,2,1,2,0,0,1,1,15,0
above_inside,4,4,2,1,1,0,2,2,4,1,2,0,1,0,1,0,2,0,0,0,0,0,0,2,0
above_left,10,5,4,3,4,2,6,0,8,3,4,1,5,3,1,0,0,2,4,0,1,0,2,16,1
above_outside,4,3,4,4,2,2,5,3,10,1,1,4,6,0,1,1,0,4,1,0,0,1,4,13,1
above_right,4,1,4,4,1,1,4,1,11,2,2,0,4,1,2,0,1,0,1,1,1,0,1,12,1
below_center,4,0,0,2,3,1,6,9,8,2,1,0,1,0,1,0,3,3,3,1,0,1,4,12,0
below_inside,2,7,2,1,2,2,13,6,8,3,4,3,2,2,2,2,3,3,3,1,2,0,7,25,6
below_left,2,0,0,1,0,0,1,0,7,1,3,0,0,0,1,0,0,4,5,0,0,0,0,14,2
below_outside,2,0,0,2,0,0,1,0,6,1,1,0,2,1,1,0,0,0,0,0,0,0,2,5,0
below_right,3,0,0,0,1,1,5,1,11,1,2,1,5,2,1,1,1,3,2,2,1,0,3,15,1
high_center,9,3,1,5,4,0,5,5,11,1,3,2,9,1,1,0,1,1,4,4,0,2,5,19,2
high_inside,3,4,1,1,1,0,5,2,1,0,2,1,3,1,1,0,2,1,2,1,1,1,2,12,0
high_left,3,0,4,6,1,2,8,2,9,4,3,1,12,3,4,2,1,6,2,1,0,0,5,34,3
high_outside,5,0,0,1,2,0,4,5,17,0,3,1,11,3,1,1,0,2,1,0,0,0,4,35,1
high_right,9,0,1,4,3,1,6,2,10,1,2,3,8,6,1,1,2,2,2,1,0,0,0,14,6
low_center,7,2,3,3,2,1,4,5,12,3,3,0,9,7,3,1,2,6,1,1,1,3,12,38,11
low_inside,9,4,2,3,0,3,8,5,4,5,1,1,4,3,1,2,0,2,2,1,0,1,2,24,0
low_left,1,2,2,4,4,0,6,6,12,0,1,0,13,8,3,3,2,5,1,0,0,1,4,32,2
low_outside,3,2,0,3,1,2,3,3,8,1,1,1,3,4,1,1,0,4,4,0,0,0,0,9,0
low_right,5,2,3,5,5,4,7,3,9,1,2,3,4,2,0,1,3,5,4,0,1,1,5,28,2
middle_center,5,5,2,8,3,2,8,7,10,1,2,1,11,4,1,2,1,6,4,0,1,3,9,35,8
middle_inside,4,3,4,0,0,4,2,7,8,3,1,2,3,3,0,1,2,2,3,1,0,1,8,21,0
middle_left,1,5,1,6,2,3,4,2,18,4,6,2,7,9,5,3,1,7,5,0,1,4,8,41,3
middle_outside,4,2,0,4,2,3,2,6,9,3,4,2,9,3,0,0,0,6,4,0,0,0,8,31,1
middle_right,2,3,2,4,5,0,2,5,8,3,4,1,11,6,3,1,3,1,6,2,1,1,8,23,5
