actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,1,2,2,7,0,1,0
above_inside,3,1,2,0,1,1,3,0,1,1,1,2,0,0,0,0,0,0,0,1,0,8,0,0,0
above_left,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
above_outside,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
above_right,0,2,2,0,1,0,1,0,3,0,3,0,2,0,0,0,1,0,0,4,0,6,0,1,1
below_center,11,7,3,0,8,2,9,6,15,8,4,13,4,0,7,4,4,1,7,26,0,72,5,2,3
below_inside,1,1,1,0,1,0,2,0,1,2,0,2,0,1,0,2,1,0,1,1,0,5,0,2,1
below_left,6,15,7,0,7,1,17,10,21,10,6,8,7,0,5,4,5,5,6,17,6,57,5,5,3
below_outside,11,8,11,0,6,5,16,4,29,8,4,9,5,0,5,6,6,5,8,13,7,51,5,1,1
below_right,1,3,3,0,7,0,5,4,10,4,7,7,1,0,3,3,2,2,1,13,0,27,0,0,0
high_center,1,3,5,0,0,1,2,2,1,4,2,6,1,0,2,0,3,1,2,12,1,26,0,0,1
high_inside,5,2,2,0,2,1,2,0,2,7,5,3,1,1,1,6,5,1,1,7,1,20,2,0,0
high_left,2,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0,2,0,1,5,0,11,0,2,0
high_outside,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,0
high_right,3,2,5,0,2,2,3,3,3,2,3,6,3,0,3,1,7,0,4,6,2,15,0,0,1
low_center,8,11,7,0,7,2,11,3,14,8,10,7,2,2,7,1,9,2,5,8,3,55,4,2,2
low_inside,5,1,2,0,2,1,2,2,4,2,2,8,3,0,1,1,3,0,0,4,2,25,2,0,1
low_left,4,4,6,0,4,1,6,1,15,1,5,6,4,1,5,4,4,3,1,14,2,51,2,3,1
low_outside,3,1,2,0,2,0,2,0,4,1,5,5,3,2,0,0,2,1,2,2,2,18,0,2,0
low_right,6,7,10,0,4,1,5,6,9,12,9,9,4,2,2,6,4,3,3,12,5,41,0,2,0
middle_center,6,5,5,0,2,1,10,0,9,3,6,7,2,0,7,4,7,4,2,10,7,24,2,1,0
middle_inside,3,3,8,0,3,0,5,4,9,9,0,5,2,1,0,3,4,0,2,6,4,28,1,0,0
middle_left,4,2,3,0,3,1,3,2,2,5,5,3,1,0,3,1,2,2,3,8,0,32,2,1,1
middle_outside,0,1,0,0,1,1,1,0,3,1,0,4,3,0,0,0,1,2,0,1,0,4,0,1,0
middle_right,5,4,3,0,3,1,3,2,8,6,7,11,5,2,4,2,8,5,5,9,3,28,4,1,3
