actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,0,0,3,3,0,3,1,0,0,4,6,3,4,0,1,4,1,0,2,0,6,2,1,2
above_inside,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
above_left,2,0,1,2,3,2,3,2,1,1,3,2,4,7,3,1,0,1,0,2,1,3,3,1,5
above_outside,2,0,2,2,3,2,7,2,3,0,2,2,2,6,0,4,4,2,4,4,1,0,4,0,3
above_right,0,1,0,0,3,0,4,1,0,2,0,1,2,2,0,1,0,0,1,1,0,0,1,0,1
below_center,7,2,1,2,6,7,6,5,6,2,3,11,6,6,2,0,8,1,2,2,7,0,9,4,6
below_inside,2,1,6,6,11,1,22,4,7,3,7,5,2,5,0,2,11,2,0,4,1,5,1,1,3
below_left,2,1,3,8,14,0,5,8,7,5,4,6,7,7,0,4,9,1,2,4,6,1,10,3,1
below_outside,5,0,2,1,4,3,6,5,3,0,0,4,4,1,1,0,2,0,0,1,3,1,0,0,3
below_right,3,0,1,3,5,2,5,1,2,2,0,4,2,5,0,11,7,2,0,2,4,2,10,1,3
high_center,1,0,2,3,5,5,3,1,4,1,8,6,6,10,1,6,4,4,3,2,5,4,14,3,3
high_inside,1,2,0,0,1,0,5,1,0,1,2,2,0,1,1,0,1,1,0,1,0,1,2,0,0
high_left,2,2,1,2,9,2,4,4,1,1,6,9,6,13,2,2,8,2,0,2,3,2,11,2,2
high_outside,5,1,2,4,3,0,6,3,4,2,4,9,5,9,0,2,9,2,1,3,2,1,9,2,2
high_right,3,1,1,2,4,3,2,0,6,1,2,3,4,6,1,2,3,3,0,0,2,3,6,1,2
low_center,3,2,3,2,7,2,4,5,1,0,6,6,7,9,1,4,12,7,3,4,10,6,16,2,3
low_inside,3,1,2,1,10,2,10,0,3,0,7,4,4,2,1,1,10,0,1,4,0,5,3,2,2
low_left,3,1,0,3,5,5,6,2,6,1,5,8,11,10,1,4,13,2,3,5,6,5,22,1,0
low_outside,6,1,1,2,5,1,5,8,5,1,3,6,4,4,1,1,8,6,2,2,3,3,13,3,2
low_right,7,1,3,2,8,3,2,0,2,1,4,3,5,7,2,2,7,1,1,0,3,5,11,2,0
middle_center,3,1,3,7,6,3,2,4,4,1,6,9,12,14,1,7,13,2,0,4,4,3,15,5,7
middle_inside,4,0,0,0,6,0,5,0,0,1,1,3,6,3,0,1,6,0,0,0,0,4,0,1,3
middle_left,5,1,2,2,7,3,4,2,5,1,7,11,13,11,1,9,5,1,0,7,7,5,22,5,5
middle_outside,2,3,3,7,6,0,3,2,4,2,6,7,5,8,1,6,8,2,2,3,7,4,20,0,2
middle_right,4,2,1,1,7,0,4,1,4,0,4,4,7,8,2,3,3,1,1,2,5,2,9,1,0
