actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,3,1,0,0,2,5,2,6,3,0,0,0,1,1,0,4,1,0,5,0,3,1,6,1
above_inside,0,1,3,0,0,2,4,5,3,4,0,0,0,0,0,2,1,0,1,3,0,8,0,3,2
above_left,0,0,1,0,0,0,5,0,1,2,0,0,2,0,0,1,1,0,1,2,0,1,0,2,0
above_outside,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0
above_right,4,1,0,0,0,4,3,0,2,0,0,0,0,4,1,1,2,0,1,2,0,8,2,5,0
below_center,4,1,4,1,2,6,30,5,14,10,0,2,10,8,0,4,20,3,13,12,2,24,4,26,5
below_inside,0,2,0,0,0,1,9,3,5,4,0,0,1,2,0,1,7,0,0,4,1,6,0,3,0
below_left,2,5,3,0,0,7,27,3,18,9,0,1,5,6,1,5,15,2,13,12,0,18,3,15,3
below_outside,5,4,3,1,1,12,28,6,24,6,1,0,2,9,0,0,11,2,4,5,0,8,2,20,1
below_right,4,3,1,1,0,2,22,1,3,9,0,1,2,2,0,3,11,0,7,5,1,15,2,16,1
high_center,1,1,0,0,0,1,10,1,2,9,0,0,2,1,0,2,7,1,5,4,0,9,0,10,0
high_inside,2,2,0,0,1,4,15,1,2,3,0,0,7,3,0,5,10,0,0,7,0,16,0,9,1
high_left,4,0,0,2,2,2,4,0,4,1,0,0,2,1,0,1,5,1,2,1,0,10,0,7,0
high_outside,2,1,0,1,0,0,3,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0
high_right,0,1,2,1,0,3,8,4,3,7,0,0,3,3,0,2,9,1,0,10,1,10,1,11,1
low_center,4,4,1,0,0,4,21,0,9,7,0,0,4,3,1,7,11,2,4,19,0,21,3,19,1
low_inside,1,2,2,1,0,3,12,0,2,4,0,3,4,1,2,3,8,0,3,10,1,14,3,10,3
low_left,3,1,6,1,0,3,17,3,7,6,0,1,4,4,0,4,11,1,5,1,1,10,0,18,1
low_outside,0,0,0,0,0,1,3,0,7,5,0,0,1,7,0,0,3,0,4,3,0,3,2,8,1
low_right,2,3,2,0,2,8,25,2,9,3,0,1,4,7,0,3,11,0,6,13,1,27,0,15,2
middle_center,1,1,0,1,0,2,26,1,6,6,0,1,7,5,0,2,8,2,8,10,0,18,0,12,3
middle_inside,1,1,4,0,0,2,12,1,4,6,1,0,2,1,0,3,10,3,1,9,0,20,0,9,4
middle_left,0,1,1,2,1,1,10,2,5,3,0,0,2,4,1,2,8,1,7,4,0,8,1,10,4
middle_outside,0,1,1,1,0,1,6,1,4,3,0,0,1,4,0,4,1,0,2,1,0,2,0,8,1
middle_right,2,3,1,0,1,0,18,6,4,6,2,0,2,3,0,3,8,0,3,9,0,18,2,18,4
