pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,0,0,0,62,1,0,0,0,11,1,4,6,1,26,28,Standard,Standard,SL,Slider,1.358038,0.447783,below_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,0,1,0,62,2,0,0,0,11,1,4,6,1,26,28,Standard,Standard,SI,Sinker,-0.331951,3.284289,high_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,7,Top,1,0,0,63,1,0,0,0,11,1,4,6,1,26,25,Standard,Standard,SI,Sinker,1.635902,2.307818,middle_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,7,Top,1,0,0,64,1,1,0,0,11,1,4,6,1,26,30,Infield shift,Strategic,SI,Sinker,-0.202247,3.132299,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,7,Top,1,0,1,64,2,1,0,0,11,1,4,6,1,26,30,Infield shift,Strategic,SL,Slider,-0.873195,2.824573,high_outside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,7,Top,1,0,2,64,3,1,0,0,11,1,4,6,1,26,30,Infield shift,Strategic,SL,Slider,0.106691,1.760762,low_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,7,Top,1,0,2,64,4,1,0,0,11,1,4,6,1,26,30,Infield shift,Strategic,SI,Sinker,0.281768,3.501149,above_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,0,0,65,1,0,0,0,13,1,4,6,1,26,27,Strategic,Standard,SL,Slider,0.476591,2.609418,middle_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,0,0,66,1,1,0,0,13,1,4,6,1,26,27,Standard,Standard,SI,Sinker,1.15525,1.81281,low_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,1,0,66,2,1,0,0,13,1,4,6,1,26,27,Standard,Standard,SI,Sinker,-0.079996,2.884861,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,0,0,67,1,1,1,0,13,1,4,6,3,26,26,Standard,Standard,SL,Slider,-0.136271,2.287385,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,0,1,67,2,1,1,0,13,1,4,6,3,26,26,Standard,Standard,SL,Slider,0.615591,1.488913,below_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,1,0,2,67,3,1,1,0,13,1,4,6,3,26,26,Standard,Standard,SI,Sinker,0.070904,2.309912,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,0,0,68,1,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SL,Slider,1.316395,0.659728,below_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,0,68,2,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SI,Sinker,0.956722,2.106325,middle_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,1,68,3,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SL,Slider,0.897258,1.564413,low_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,2,1,68,4,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SL,Slider,0.174508,2.337888,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,2,2,68,5,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SI,Sinker,-0.707313,2.522306,middle_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,2,2,68,6,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SI,Sinker,0.116289,1.924614,low_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,2,2,68,7,1,1,0,13,1,4,6,1,26,26,Standard,Standard,SL,Slider,0.57515,3.068268,high_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,0,0,69,1,1,0,1,14,1,4,6,1,26,28,Standard,Standard,SL,Slider,1.088544,2.150575,middle_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,0,69,2,1,0,1,14,1,4,6,1,26,28,Standard,Standard,FF,4-Seam Fastball,0.269009,2.981717,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,1,69,3,1,0,1,14,1,4,6,1,26,28,Standard,Standard,SI,Sinker,0.147455,3.263767,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,2,69,4,1,0,1,14,1,4,6,1,26,28,Standard,Standard,SI,Sinker,-0.28809,3.145505,high_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,7,Top,2,1,2,69,5,1,0,1,14,1,4,6,1,26,28,Standard,Standard,SL,Slider,0.335138,2.577506,middle_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,0,0,73,1,0,0,0,14,1,4,6,1,26,24,Standard,Standard,SI,Sinker,1.295178,1.693559,low_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,1,0,73,2,0,0,0,14,1,4,6,1,26,24,Standard,Standard,SL,Slider,0.690402,1.992174,low_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,1,1,73,3,0,0,0,14,1,4,6,1,26,24,Standard,Standard,SL,Slider,0.401031,1.115902,below_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,2,1,73,4,0,0,0,14,1,4,6,1,26,24,Standard,Standard,SI,Sinker,0.112275,3.800931,above_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,3,1,73,5,0,0,0,14,1,4,6,1,26,24,Standard,Standard,SI,Sinker,1.240111,2.158756,middle_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,0,0,74,1,1,0,0,14,2,5,6,1,26,28,Standard,Standard,SI,Sinker,-0.249682,2.27272,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,0,1,74,2,1,0,0,14,2,5,6,1,26,28,Standard,Standard,SI,Sinker,0.658902,3.105944,high_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,0,2,74,3,1,0,0,14,2,5,6,1,26,28,Standard,Standard,SL,Slider,0.229483,2.847657,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,0,2,74,4,1,0,0,14,2,5,6,1,26,28,Standard,Standard,SL,Slider,0.606045,0.479346,below_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,0,1,2,74,5,1,0,0,14,2,5,6,1,26,28,Standard,Standard,SL,Slider,0.484362,2.377283,middle_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,0,0,75,1,1,0,0,14,2,5,6,1,26,25,Standard,Standard,SL,Slider,-0.238758,1.650668,low_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,0,1,75,2,1,0,0,14,2,5,6,1,26,25,Standard,Standard,CH,Changeup,-0.19917,0.2341,below_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,1,1,75,3,1,0,0,14,2,5,6,1,26,25,Standard,Standard,SL,Slider,0.992753,0.927877,below_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,2,1,75,4,1,0,0,14,2,5,6,1,26,25,Standard,Standard,SI,Sinker,-0.220808,0.312929,below_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,3,1,75,5,1,0,0,14,2,5,6,1,26,25,Standard,Standard,SI,Sinker,-0.402485,3.274881,above_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,1,3,2,75,6,1,0,0,14,2,5,6,1,26,25,Standard,Standard,SL,Slider,0.356504,2.038327,low_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,1,0,0,76,1,0,1,1,14,2,0,6,1,26,27,Standard,Standard,SI,Sinker,0.176482,2.869322,high_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,1,0,1,76,2,0,1,1,14,2,0,6,1,26,27,Standard,Standard,SI,Sinker,-0.429296,3.014183,high_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,1,0,2,76,3,0,1,1,14,2,0,6,1,26,27,Standard,Standard,SL,Slider,1.815247,0.729201,below_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,1,1,2,76,4,0,1,1,14,2,0,6,1,26,27,Standard,Standard,SI,Sinker,0.594291,2.1012,middle_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,2,0,0,77,1,0,1,1,14,2,5,6,1,26,27,Strategic,Standard,SL,Slider,1.051991,0.827231,below_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,2,1,0,77,2,0,1,1,14,2,5,6,1,26,27,Strategic,Standard,SL,Slider,0.508021,1.952492,low_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,2,1,1,77,3,0,1,1,14,2,5,6,1,26,27,Strategic,Standard,SI,Sinker,2.12794,1.768203,low_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,8,Top,2,2,1,77,4,0,1,1,14,2,5,6,1,26,27,Standard,Standard,SI,Sinker,-0.088328,2.793332,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,2,0,0,78,1,1,0,1,15,2,0,6,1,26,24,Standard,Standard,SI,Sinker,0.281675,2.373055,middle_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,2,0,1,78,2,1,0,1,15,2,0,6,1,26,24,Standard,Standard,SI,Sinker,0.210205,2.4277,middle_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,2,0,2,78,3,1,0,1,15,2,0,6,1,26,24,Standard,Standard,SL,Slider,-0.183564,2.023551,low_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,L,R,8,Top,2,0,2,78,4,1,0,1,15,2,0,6,1,26,24,Standard,Standard,SL,Slider,-0.055126,1.93184,low_center
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,0,0,0,82,1,0,0,0,15,2,5,6,3,26,26,Standard,Standard,SI,Sinker,0.4169,2.553897,high_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,0,0,1,82,2,0,0,0,15,2,5,6,3,26,26,Standard,Standard,SL,Slider,0.7993,1.79698,low_right
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,1,0,0,83,1,0,0,0,15,2,5,6,1,26,26,Standard,Standard,SL,Slider,-0.679249,3.172299,high_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,1,0,1,83,2,0,0,0,15,2,5,6,1,26,26,Standard,Standard,SI,Sinker,1.653232,2.819788,high_inside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,1,1,1,83,3,0,0,0,15,2,5,6,1,26,26,Standard,Standard,SI,Sinker,-0.961029,2.384995,middle_outside
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,2,0,0,84,1,0,0,0,15,2,5,6,1,26,28,Standard,Standard,SL,Slider,-0.803146,3.943444,above_left
"Singer, Brady",bradySinger.csv,2022-04-10,662755,2022,KC,CLE,R,R,9,Top,2,1,0,84,2,0,0,0,15,2,5,6,1,26,28,Standard,Standard,FF,4-Seam Fastball,0.28495,1.844298,low_right
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,R,R,7,Bot,1,0,0,55,1,0,0,0,3,1,3,12,1,26,28,Standard,Standard,SL,Slider,0.019759,2.759641,high_center
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,R,R,7,Bot,1,0,1,55,2,0,0,0,3,1,3,12,1,26,28,Standard,Standard,SI,Sinker,0.734912,2.426122,middle_right
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,R,R,7,Bot,1,0,2,55,3,0,0,0,3,1,3,12,1,26,28,Standard,Standard,SL,Slider,1.246904,1.745963,low_inside
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,R,R,7,Bot,1,1,2,55,4,0,0,0,3,1,3,12,1,26,28,Standard,Standard,SL,Slider,0.177341,2.314978,middle_center
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,0,0,56,1,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SL,Slider,0.315762,2.653098,middle_right
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,0,1,56,2,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SI,Sinker,-0.936835,2.714443,middle_outside
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,0,2,56,3,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SI,Sinker,0.822577,2.554714,middle_right
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,1,2,56,4,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SI,Sinker,0.122557,1.020143,below_center
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,2,2,56,5,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SL,Slider,1.895483,0.454167,below_inside
"Singer, Brady",bradySinger.csv,2022-04-22,662175,2022,SEA,KC,L,R,7,Bot,2,3,2,56,6,0,0,0,3,1,3,12,1,26,29,Infield shade,Standard,SL,Slider,0.295785,1.579415,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,0,0,0,70,1,0,0,0,-6,1,3,4,2,26,24,Standard,Standard,SI,Sinker,1.615099,1.690054,low_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,0,1,0,70,2,0,0,0,-6,1,3,4,2,26,24,Standard,Standard,SI,Sinker,-0.853037,3.62114,above_outside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,0,2,0,70,3,0,0,0,-6,1,3,4,2,26,24,Standard,Standard,SI,Sinker,-0.454338,2.046539,low_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,0,2,1,70,4,0,0,0,-6,1,3,4,2,26,24,Standard,Standard,SI,Sinker,-0.26455,2.224552,middle_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,0,2,2,70,5,0,0,0,-6,1,3,4,2,26,24,Standard,Standard,SL,Slider,0.746367,1.078638,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,1,0,0,71,1,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SI,Sinker,-0.634499,1.794071,low_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,1,1,0,71,2,0,0,0,-6,1,3,4,2,26,35,Strategic,Standard,SI,Sinker,0.237691,1.935803,low_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,1,1,1,71,3,0,0,0,-6,1,3,4,2,26,35,Strategic,Standard,SL,Slider,1.524264,1.166361,below_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,8,Bot,1,2,1,71,4,0,0,0,-6,1,3,4,2,26,35,Strategic,Standard,SI,Sinker,-0.138692,2.159291,low_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,0,0,72,1,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SI,Sinker,0.008325,2.355304,middle_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,0,1,72,2,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SL,Slider,-0.585772,1.444371,below_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,1,1,72,3,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SL,Slider,1.10078,0.892035,below_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,1,2,72,4,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SI,Sinker,-0.994621,2.916564,high_outside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,1,2,72,5,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SL,Slider,-0.796419,1.251845,below_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,L,R,8,Bot,2,2,2,72,6,0,0,0,-6,1,0,4,3,26,27,Infield shift,Standard,SL,Slider,0.0213,1.819783,low_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,0,0,76,1,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SL,Slider,-0.113515,1.921707,low_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,0,1,76,2,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SL,Slider,1.356733,1.664009,low_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,1,1,76,3,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SI,Sinker,-0.579177,1.937233,low_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,1,2,76,4,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SL,Slider,0.806776,0.620789,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,2,2,76,5,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SI,Sinker,-0.596941,2.582343,middle_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,0,2,2,76,6,0,0,0,-6,1,3,4,2,26,35,Standard,Standard,SI,Sinker,-0.358792,1.453732,below_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,0,0,77,1,0,0,0,-6,1,3,4,3,26,26,Standard,Standard,SI,Sinker,0.364838,1.382721,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,1,0,77,2,0,0,0,-6,1,3,4,3,26,26,Standard,Standard,SL,Slider,0.657607,1.510447,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,1,1,77,3,0,0,0,-6,1,3,4,3,26,26,Standard,Standard,SL,Slider,0.329166,1.550368,low_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,0,0,78,1,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SI,Sinker,-0.163987,0.732013,below_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,1,0,78,2,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SI,Sinker,-0.069993,3.125511,high_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,1,1,78,3,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SI,Sinker,0.632351,1.401812,below_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,2,1,78,4,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SI,Sinker,-0.437406,2.585851,middle_left
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,2,2,78,5,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SL,Slider,1.208067,1.525814,below_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,1,2,2,78,6,1,0,0,-6,1,3,4,6,26,35,Standard,Standard,SI,Sinker,0.100344,3.05613,high_center
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,2,0,0,79,1,1,0,0,-6,1,3,4,3,26,31,Standard,Standard,SI,Sinker,0.908619,0.64569,below_inside
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,2,1,0,79,2,1,0,0,-6,1,3,4,3,26,31,Standard,Standard,SI,Sinker,0.510403,3.341229,high_right
"Singer, Brady",bradySinger.csv,2022-04-26,661536,2022,CWS,KC,R,R,9,Bot,2,1,1,79,3,1,0,0,-6,1,3,4,3,26,31,Standard,Standard,SL,Slider,0.625457,1.435317,below_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,21,0,26,31,Standard,Standard,SI,Sinker,1.409172,2.031842,low_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,21,0,26,31,Standard,Standard,SI,Sinker,0.400693,3.400769,high_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,0,1,1,1,3,0,0,0,0,1,0,21,0,26,31,Standard,Standard,SL,Slider,1.183692,1.411177,below_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,21,0,26,31,Standard,Standard,SI,Sinker,0.341966,2.098276,low_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,21,1,26,27,Infield shift,Standard,SI,Sinker,-1.142537,3.875956,above_outside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,1,1,0,2,2,0,0,0,0,1,0,21,1,26,27,Infield shift,Standard,SL,Slider,0.617415,1.275845,below_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,1,1,1,2,3,0,0,0,0,1,0,21,1,26,27,Infield shift,Standard,SL,Slider,1.151088,2.131703,low_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,1,1,2,2,4,0,0,0,0,1,0,21,1,26,27,Infield shift,Standard,SI,Sinker,-0.378861,2.068695,low_left
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,21,0,26,25,Standard,Standard,SI,Sinker,0.310954,1.831099,below_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,2,0,1,3,2,0,0,0,0,1,0,21,0,26,25,Standard,Standard,SL,Slider,1.086,1.041627,below_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,2,0,2,3,3,0,0,0,0,1,0,21,0,26,25,Standard,Standard,SI,Sinker,0.663408,3.93815,above_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,1,Top,2,1,2,3,4,0,0,0,0,1,0,21,0,26,25,Standard,Standard,SL,Slider,0.626786,2.85017,middle_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,0,0,4,1,1,0,0,0,1,0,21,0,26,34,Infield shift,Strategic,CH,Changeup,-0.469184,3.465807,above_left
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,1,0,4,2,1,0,0,0,1,0,21,0,26,34,Infield shift,Strategic,SI,Sinker,-0.493316,1.451059,below_left
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,1,1,4,3,1,0,0,0,1,0,21,0,26,34,Infield shift,Strategic,CH,Changeup,0.856798,2.027259,low_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,2,1,4,4,1,0,0,0,1,0,21,0,26,34,Infield shift,Strategic,SL,Slider,0.328194,2.762128,high_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,2,2,4,5,1,0,0,0,1,0,21,0,26,34,Infield shift,Standard,SL,Slider,-0.30807,2.723448,high_left
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,0,0,5,1,1,0,1,0,1,0,21,0,26,26,Standard,Standard,SL,Slider,-0.0984,3.062567,high_center
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,0,1,5,2,1,0,1,0,1,0,21,0,26,26,Standard,Standard,SI,Sinker,-1.112342,3.441105,high_outside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,1,1,5,3,1,0,1,0,1,0,21,0,26,26,Standard,Standard,SI,Sinker,-1.62096,3.568975,above_outside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,L,R,1,Top,2,2,1,5,4,1,0,1,0,1,0,21,0,26,26,Standard,Standard,SL,Slider,0.531739,2.39301,middle_right
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,2,Top,0,0,0,11,1,0,0,0,0,1,0,21,1,26,24,Standard,Standard,SL,Slider,2.017955,0.691803,below_inside
"Singer, Brady",bradySinger.csv,2022-05-17,662727,2022,KC,CWS,R,R,2,Top,0,1,0,11,2,0,0,0,0,1,0,21,1,26,24,Standard,Standard,SL,Slider,1.30959,0.988806,below_inside
