actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,7,1,3,3,2,2,10,6,10,1,17,10,0,2,2,1,2,1,3,1,7,9,2,2,2
above_inside,2,2,0,1,1,2,1,1,1,3,5,5,0,1,1,0,2,0,1,1,0,2,1,3,1
above_left,10,2,1,2,3,4,5,4,2,0,19,6,2,0,0,2,2,4,5,1,3,2,1,3,2
above_outside,0,1,0,0,0,2,1,2,2,1,10,2,1,2,0,5,0,0,3,1,1,1,4,1,0
above_right,4,2,0,4,6,0,4,6,4,1,15,6,0,1,2,1,0,3,3,0,2,8,3,0,0
below_center,9,4,1,2,2,3,6,9,2,3,12,5,0,0,2,5,1,7,5,0,5,3,5,3,1
below_inside,9,5,3,4,1,2,11,5,7,2,14,15,2,2,0,5,5,6,5,3,1,12,6,3,3
below_left,1,1,1,2,0,1,1,7,2,4,5,1,1,0,0,6,0,1,4,0,1,0,2,3,0
below_outside,0,0,0,0,2,0,2,2,2,0,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0
below_right,9,1,3,2,2,7,8,14,4,2,24,8,1,2,1,5,3,8,7,4,5,6,2,1,1
high_center,10,1,0,1,2,3,4,5,3,1,26,8,2,1,0,5,1,5,6,2,14,11,4,3,4
high_inside,1,2,3,1,3,1,3,6,1,0,5,11,1,2,1,2,1,2,3,0,4,5,1,3,8
high_left,7,1,1,0,2,1,2,2,5,2,19,9,1,1,1,4,1,1,5,0,7,10,3,7,4
high_outside,2,2,0,1,0,1,3,2,0,1,13,3,0,0,1,2,1,3,2,1,4,3,0,1,1
high_right,2,1,0,2,4,3,8,9,1,3,24,12,1,2,3,7,1,4,7,1,5,8,4,6,3
low_center,7,2,0,2,0,4,3,5,4,3,24,9,2,3,1,8,2,5,6,4,6,1,0,4,4
low_inside,3,4,2,2,2,1,7,4,2,0,18,4,1,0,0,1,3,1,6,0,4,11,1,1,1
low_left,3,4,0,3,0,4,0,1,5,3,17,4,2,0,1,4,1,5,1,1,4,2,2,4,2
low_outside,2,1,0,1,0,1,1,3,2,3,3,4,1,0,0,1,0,3,2,0,3,0,0,3,1
low_right,4,1,0,0,1,5,7,6,4,3,13,8,3,1,2,0,0,1,2,5,6,4,3,3,3
middle_center,4,4,2,2,4,7,1,5,5,1,27,8,2,1,0,9,4,6,1,2,16,7,8,3,3
middle_inside,4,3,0,4,4,0,5,2,2,0,11,10,0,2,5,0,3,3,2,0,2,5,2,0,2
middle_left,2,0,0,1,1,0,2,5,2,4,24,9,2,2,0,5,1,4,3,0,10,4,3,2,3
middle_outside,0,0,0,1,0,0,2,3,3,0,8,2,0,0,0,2,0,5,3,1,0,1,0,1,0
middle_right,5,3,0,1,0,1,2,5,3,0,17,10,1,0,3,2,4,7,3,0,11,9,0,5,3
