actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,1,6,5,4,1,9,1,1,3,0,6,2,1,4,1,3,2,2,2,0,1,6,1,4
above_inside,3,6,0,2,8,0,9,0,2,1,1,8,1,0,3,1,5,3,1,1,1,2,3,1,2
above_left,1,0,0,3,4,0,4,2,3,2,1,1,3,0,3,2,3,0,2,0,1,1,1,1,2
above_outside,0,0,0,1,3,0,3,0,0,1,0,1,1,1,0,1,2,1,0,2,0,0,1,0,0
above_right,2,1,3,6,3,1,2,1,4,2,1,7,8,2,4,0,1,2,1,2,0,0,2,1,3
below_center,1,5,6,6,1,3,18,1,11,1,0,6,3,3,2,2,8,5,2,2,2,1,1,3,6
below_inside,2,1,2,4,1,0,22,0,9,4,0,3,3,0,0,0,4,1,2,2,0,3,3,1,2
below_left,2,0,7,3,5,2,23,1,19,7,3,3,0,0,4,1,0,4,6,3,1,3,2,2,5
below_outside,2,2,11,4,3,4,10,0,15,6,0,1,3,1,4,1,5,9,5,0,1,1,0,1,2
below_right,3,3,4,3,2,4,14,0,5,7,0,2,0,1,2,0,4,3,2,0,0,1,1,2,3
high_center,5,5,8,1,8,1,10,1,6,3,2,8,5,3,3,1,6,3,1,1,1,2,6,4,4
high_inside,1,3,6,3,6,2,12,0,1,0,0,9,6,2,4,1,0,0,2,0,0,3,0,3,3
high_left,1,1,3,4,4,2,12,1,5,2,1,6,8,0,3,2,2,2,2,1,0,1,7,3,1
high_outside,2,1,5,1,6,0,4,2,1,4,0,3,7,1,2,1,2,0,3,1,1,0,2,2,4
high_right,4,3,4,2,3,0,14,2,4,8,0,6,4,1,4,2,3,1,3,4,2,0,3,3,3
low_center,4,7,7,6,4,2,10,2,8,5,2,6,5,0,5,5,3,3,7,3,5,0,5,3,1
low_inside,2,0,6,4,3,0,15,0,5,5,1,4,4,0,2,0,4,1,0,0,0,2,1,1,3
low_left,5,2,6,8,2,0,7,3,4,1,1,8,7,4,2,2,2,2,4,0,0,0,5,5,3
low_outside,3,1,4,3,3,4,11,3,7,1,3,4,7,0,1,2,2,6,3,1,1,1,5,1,2
low_right,1,8,2,4,5,1,9,1,10,1,2,9,5,0,4,0,5,2,1,1,2,4,4,2,2
middle_center,3,3,13,14,11,3,8,4,9,6,2,6,8,1,5,0,6,4,6,3,6,2,8,5,3
middle_inside,2,3,5,2,6,1,15,2,4,3,1,9,6,0,5,1,4,3,2,1,3,1,2,1,7
middle_left,1,2,7,6,6,4,6,1,6,3,1,7,5,3,4,2,7,7,8,3,1,5,5,6,5
middle_outside,0,3,9,7,4,0,3,1,4,3,1,5,3,0,1,1,3,5,1,1,4,0,7,1,4
middle_right,1,6,6,5,6,1,9,2,6,0,1,11,10,2,5,2,6,1,4,2,1,3,4,1,6
